MOSQUITO_DATE,MOSQUITO_VALUE_WATER,MOSQUITO_VALUE_HOUSE,MOSQUITO_VALUE_PARK
2023-05-01,83.5,10.3,42.1
2023-05-02,35.3,17.4,11.0
2023-05-03,44.3,20.8,14.1
2023-05-04,46.2,23.4,19.0
2023-05-05,60.6,29.2,23.6
2023-05-06,82.2,32.1,26.7
2023-05-07,63.3,13.9,23.1
2023-05-08,52.0,8.9,13.5
2023-05-09,54.3,20.5,16.5
2023-05-10,53.8,26.4,19.4
2023-05-11,61.0,29.5,22.2
2023-05-12,61.0,31.2,24.5
2023-05-13,79.2,33.3,27.7
2023-05-14,74.0,30.9,25.9
2023-05-15,72.2,31.8,24.9
2023-05-16,77.8,32.4,26.7
2023-05-17,81.1,37.1,30.9
2023-05-18,100.0,41.5,36.5
2023-05-19,100.0,40.7,35.7
2023-05-20,100.0,40.8,33.3
2023-05-21,100.0,40.4,35.1
2023-05-22,100.0,39.6,33.3
2023-05-23,100.0,30.0,27.6
2023-05-24,100.0,39.4,33.1
2023-05-25,90.7,37.8,33.5
2023-05-26,94.0,37.3,33.6
2023-05-27,99.0,38.1,34.6
2023-05-28,100.0,40.0,36.3
2023-05-29,96.0,26.2,32.8
2023-05-30,99.3,20.3,32.7
2023-05-31,100.0,41.2,39.3
2023-06-01,100.0,46.0,40.6
2023-06-02,100.0,48.7,47.8
2023-06-03,100.0,48.7,54.1
2023-06-04,100.0,40.4,37.2
2023-06-05,100.0,45.9,34.5
2023-06-06,100.0,46.3,36.5
2023-06-07,100.0,44.2,35.2
2023-06-08,100.0,40.1,34.1
2023-06-09,100.0,43.9,48.5
2023-06-10,100.0,40.4,38.5
2023-06-11,100.0,50.4,50.6
2023-06-12,100.0,50.1,49.2
2023-06-13,100.0,46.3,48.7
2023-06-14,100.0,46.6,43.9
2023-06-15,100.0,45.9,43.2
2023-06-16,100.0,41.1,37.0
2023-06-17,100.0,48.4,46.4
2023-06-18,100.0,51.8,51.7
2023-06-19,100.0,53.5,48.5
2023-06-20,100.0,59.4,66.0
2023-06-21,100.0,68.4,77.6
2023-06-22,100.0,55.3,65.7
2023-06-23,100.0,40.7,48.4
2023-06-24,100.0,47.7,54.9
2023-06-25,100.0,54.2,60.9
2023-06-26,100.0,61.1,72.3
2023-06-27,100.0,67.4,79.5
2023-06-28,100.0,53.5,69.1
2023-06-29,100.0,57.3,72.1
2023-06-30,100.0,61.5,83.5
2023-07-01,100.0,53.5,74.3
2023-07-02,100.0,62.4,57.5
2023-07-03,100.0,50.7,29.6
2023-07-04,100.0,50.6,46.4
2023-07-05,100.0,59.0,66.2
2023-07-06,100.0,64.4,80.3
2023-07-07,100.0,57.0,58.7
2023-07-08,100.0,49.8,51.0
2023-07-09,100.0,58.8,66.3
2023-07-10,100.0,45.2,64.1
2023-07-11,100.0,47.4,55.6
2023-07-12,100.0,58.8,62.5
2023-07-13,100.0,53.2,68.9
2023-07-14,100.0,57.0,47.7
2023-07-15,100.0,64.3,56.4
2023-07-16,100.0,52.2,55.5
2023-07-17,100.0,54.9,69.5
2023-07-18,100.0,57.2,63.5
2023-07-19,100.0,57.0,48.0
2023-07-20,100.0,50.2,53.8
2023-07-21,100.0,41.7,38.5
2023-07-22,100.0,47.8,52.1
2023-07-23,100.0,50.4,58.2
2023-07-24,100.0,64.0,79.0
2023-07-25,100.0,56.0,58.1
2023-07-26,100.0,58.5,53.5
2023-07-27,100.0,55.7,55.6
2023-07-28,100.0,57.7,51.1
2023-07-29,100.0,55.0,56.7
2023-07-30,100.0,50.1,56.2
2023-07-31,100.0,52.2,68.2
2023-08-01,100.0,48.0,62.3
2023-08-02,100.0,40.5,57.8
2023-08-03,100.0,41.4,52.8
2023-08-04,100.0,39.7,57.7
2023-08-05,93.6,38.0,54.0
2023-08-06,100.0,38.7,53.9
2023-08-07,92.3,36.1,57.9
2023-08-08,100.0,42.8,71.4
2023-08-09,100.0,46.9,56.8
2023-08-10,100.0,41.8,51.8
2023-08-11,100.0,49.7,59.4
2023-08-12,100.0,40.0,47.0
2023-08-13,93.4,34.1,40.8
2023-08-14,100.0,36.8,39.3
2023-08-15,100.0,38.4,54.3
2023-08-16,100.0,40.7,58.0
2023-08-17,100.0,38.1,59.2
2023-08-18,100.0,39.8,54.3
2023-08-19,100.0,36.6,53.9
2023-08-20,100.0,34.8,55.2
2023-08-21,100.0,34.1,55.4
2023-08-22,100.0,35.1,49.8
2023-08-23,100.0,36.0,59.2
2023-08-24,100.0,36.7,61.1
2023-08-25,100.0,32.6,39.1
2023-08-26,100.0,38.9,56.5
2023-08-27,100.0,35.6,62.3
2023-08-28,100.0,31.1,56.8
2023-08-29,100.0,32.0,45.5
2023-08-30,100.0,32.5,34.7
2023-08-31,100.0,29.4,37.2
2023-09-01,100.0,29.0,41.1
2023-09-02,100.0,34.8,45.6
2023-09-03,100.0,37.7,46.1
2023-09-04,100.0,39.7,46.1
2023-09-05,100.0,36.6,45.0
2023-09-06,100.0,36.0,45.6
2023-09-07,100.0,39.1,46.7
2023-09-08,100.0,41.4,48.2
2023-09-09,100.0,44.5,48.2
2023-09-10,100.0,43.9,48.5
2023-09-11,100.0,42.1,47.3
2023-09-12,100.0,41.6,45.3
2023-09-13,100.0,42.8,46.4
2023-09-14,100.0,42.1,45.3
2023-09-15,100.0,38.7,47.6
2023-09-16,100.0,42.3,47.3
2023-09-17,77.3,100.0,35.3
2023-09-18,100.0,38.8,42.9
2023-09-19,100.0,39.7,45.0
2023-09-20,100.0,41.4,50.0
2023-09-21,100.0,41.8,45.8
2023-09-22,94.8,39.0,50.3
2023-09-23,100.0,45.9,50.5
2023-09-24,100.0,46.6,45.0
2023-09-25,100.0,48.0,48.8
2023-09-26,100.0,51.2,49.1
2023-09-27,100.0,48.3,45.3
2023-09-28,82.3,40.5,45.6
2023-09-29,100.0,42.2,44.4
2023-09-30,100.0,45.7,46.1
2023-10-01,100.0,51.8,46.7
2023-10-02,91.8,30.0,37.1
2023-10-03,77.1,32.9,33.0
2023-10-04,66.9,34.5,32.6
2023-10-05,77.8,29.4,29.8
2023-10-06,81.0,31.8,29.4
2023-10-07,41.3,15.8,22.2
2023-10-08,43.9,22.9,24.1
2023-10-09,63.7,24.1,27.1
2023-10-10,100.0,23.1,27.8
2023-10-11,77.1,29.1,27.4
2023-10-12,65.0,31.0,26.7
2023-10-13,74.6,33.5,26.7
2023-10-14,64.3,32.7,26.5
2023-10-15,76.5,26.3,26.5
2023-10-16,65.6,15.4,18.9
2023-10-17,56.0,23.3,22.2
2023-10-18,43.3,17.2,17.8
2023-10-19,24.1,19.0,15.7
2023-10-20,42.0,22.9,20.1
2023-10-21,100.0,21.8,22.0
2023-10-22,28.6,2.3,9.6
2023-10-23,13.9,5.2,6.8
2023-10-24,19.0,11.9,10.5
2023-10-25,59.2,24.2,16.8
2023-10-26,58.0,17.9,16.6
2023-10-27,64.3,26.2,18.9
2023-10-28,100.0,27.8,20.3
2023-10-29,61.2,20.9,15.7
2023-10-30,42.0,20.3,12.2
2023-10-31,47.7,24.1,13.8
